name,bbox,type,split,status,cos_sim_baseline,n_samples,n_change_pixels,change_pct,change_baseline,stable_baseline
Yangtze_Delta,"[120.8, 30.7, 121.8, 31.5]",Urban,Train,skip,,,,,,
Jing_Jin_Ji,"[116.0, 39.5, 117.0, 40.3]",Urban,Train,skip,,,,,,
Chengdu_Plain,"[103.8, 30.3, 104.5, 30.9]",Urban,Train,ok,0.9812,460.0,4.0,0.9,0.886,0.9821
NE_Plain,"[125.0, 44.5, 126.0, 45.5]",Agriculture,Train,skip,,,,,,
N_China_Plain,"[114.5, 36.0, 115.5, 37.0]",Agriculture,Train,skip,,,,,,
Jianghan_Plain,"[113.5, 30.0, 114.5, 30.8]",Agriculture,Train,ok,0.9553,246.0,61.0,24.8,0.9219,0.9663
Hetao,"[107.0, 40.5, 108.0, 41.2]",Agriculture,Train,skip,,,,,,
Yunnan_Eco,"[100.0, 25.5, 100.8, 26.2]",Ecology,Train,ok,0.9639,410.0,42.0,10.2,0.9414,0.9665
Daxinganling,"[121.5, 50.0, 122.5, 50.8]",Forest,Train,skip,,,,,,
Qinghai_Edge,"[100.5, 36.0, 101.5, 36.8]",Plateau,Train,ok,0.9841,155.0,1.0,0.6,0.9402,0.9843
Guanzhong,"[108.5, 34.0, 109.3, 34.7]",Mixed,Train,skip,,,,,,
Minnan_Coast,"[117.8, 24.3, 118.5, 25.0]",Mixed,Train,ok,0.9558,486.0,160.0,32.9,0.929,0.969
Pearl_River,"[113.0, 22.8, 114.0, 23.5]",Urban,Val,ok,0.9621,495.0,86.0,17.4,0.9408,0.9665
Poyang_Lake,"[115.8, 28.8, 116.5, 29.5]",Wetland,Val,ok,0.9096,475.0,340.0,71.6,0.8895,0.9602
Wuyi_Mountain,"[117.5, 27.5, 118.2, 28.2]",Forest,Test,ok,0.9541,48.0,14.0,29.2,0.9451,0.9579
Sanxia,"[110.0, 30.5, 111.0, 31.2]",Mixed,OOD,skip,,,,,,
Lhasa_Valley,"[91.0, 29.5, 91.8, 30.0]",Plateau,OOD,skip,,,,,,
